Date,ConfirmedCases,ConfirmedDeaths,InfectionRate
2020-01-01,0.0,0.0,
2020-01-02,0.0,0.0,0.0
2020-01-03,0.0,0.0,0.0
2020-01-04,0.0,0.0,0.0
2020-01-05,0.0,0.0,0.0
2020-01-06,0.0,0.0,0.0
2020-01-07,0.0,0.0,0.0
2020-01-08,0.0,0.0,0.0
2020-01-09,0.0,0.0,0.0
2020-01-10,0.0,0.0,0.0
2020-01-11,0.0,0.0,0.0
2020-01-12,0.0,0.0,0.0
2020-01-13,0.0,0.0,0.0
2020-01-14,0.0,0.0,0.0
2020-01-15,0.0,0.0,0.0
2020-01-16,0.0,0.0,0.0
2020-01-17,0.0,0.0,0.0
2020-01-18,0.0,0.0,0.0
2020-01-19,0.0,0.0,0.0
2020-01-20,0.0,0.0,0.0
2020-01-21,0.0,0.0,0.0
2020-01-22,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0
2020-02-01,1.0,0.0,1.0
2020-02-02,1.0,0.0,0.0
2020-02-03,1.0,0.0,0.0
2020-02-04,1.0,0.0,0.0
2020-02-05,1.0,0.0,0.0
2020-02-06,1.0,0.0,0.0
2020-02-07,1.0,0.0,0.0
2020-02-08,1.0,0.0,0.0
2020-02-09,1.0,0.0,0.0
2020-02-10,1.0,0.0,0.0
2020-02-11,1.0,0.0,0.0
2020-02-12,1.0,0.0,0.0
2020-02-13,1.0,0.0,0.0
2020-02-14,1.0,0.0,0.0
2020-02-15,1.0,0.0,0.0
2020-02-16,1.0,0.0,0.0
2020-02-17,1.0,0.0,0.0
2020-02-18,1.0,0.0,0.0
2020-02-19,1.0,0.0,0.0
2020-02-20,1.0,0.0,0.0
2020-02-21,1.0,0.0,0.0
2020-02-22,1.0,0.0,0.0
2020-02-23,1.0,0.0,0.0
2020-02-24,1.0,0.0,0.0
2020-02-25,1.0,0.0,0.0
2020-02-26,1.0,0.0,0.0
2020-02-27,2.0,0.0,1.0
2020-02-28,3.0,0.0,1.0
2020-02-29,11.0,0.0,8.0
2020-03-01,14.0,0.0,3.0
2020-03-02,14.0,0.0,0.0
2020-03-03,19.0,0.0,5.0
2020-03-04,32.0,0.0,13.0
2020-03-05,62.0,0.0,30.0
2020-03-06,87.0,0.0,25.0
2020-03-07,146.0,0.0,59.0
2020-03-08,179.0,0.0,33.0
2020-03-09,225.0,0.0,46.0
2020-03-10,326.0,0.0,101.0
2020-03-11,424.0,0.0,98.0
2020-03-12,620.0,14.0,196.0
2020-03-13,771.0,14.0,151.0
2020-03-14,923.0,15.0,152.0
2020-03-15,994.0,16.0,71.0
2020-03-16,1063.0,18.0,69.0
2020-03-17,1146.0,20.0,83.0
2020-03-18,1265.0,21.0,119.0
2020-03-19,1410.0,27.0,145.0
2020-03-20,1553.0,34.0,143.0
2020-03-21,1733.0,43.0,180.0
2020-03-22,1869.0,51.0,136.0
2020-03-23,1987.0,62.0,118.0
2020-03-24,2169.0,73.0,182.0
2020-03-25,2399.0,94.0,230.0
2020-03-26,2713.0,116.0,314.0
2020-03-27,2999.0,147.0,286.0
2020-03-28,3364.0,179.0,365.0
2020-03-29,3664.0,214.0,300.0
2020-03-30,3944.0,252.0,280.0
2020-03-31,4360.0,297.0,416.0
2020-04-01,4835.0,345.0,475.0
2020-04-02,5321.0,398.0,486.0
2020-04-03,5875.0,468.0,554.0
2020-04-04,6476.0,548.0,601.0
2020-04-05,6833.0,618.0,357.0
2020-04-06,7173.0,703.0,340.0
2020-04-07,7562.0,793.0,389.0
2020-04-08,8300.0,877.0,738.0
2020-04-09,8954.0,992.0,654.0
2020-04-10,9599.0,1078.0,645.0
2020-04-11,10053.0,1168.0,454.0
2020-04-12,10448.0,1270.0,395.0
2020-04-13,10912.0,1367.0,464.0
2020-04-14,11349.0,1451.0,437.0
2020-04-15,11828.0,1543.0,479.0
2020-04-16,12432.0,1658.0,604.0
2020-04-17,13055.0,1769.0,623.0
2020-04-18,13743.0,1852.0,688.0
2020-04-19,14275.0,1938.0,532.0
2020-04-20,14663.0,2025.0,388.0
2020-04-21,15124.0,2110.0,461.0
2020-04-22,15831.0,2172.0,707.0
2020-04-23,16553.0,2249.0,722.0
2020-04-24,17311.0,2335.0,758.0
2020-04-25,18091.0,2424.0,780.0
2020-04-26,18564.0,2497.0,473.0
