Date,ConfirmedCases,ConfirmedDeaths,InfectionRate
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,,,
2020-01-21,,,
2020-01-22,0.0,0.0,
2020-01-23,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0
2020-01-31,2.0,0.0,2.0
2020-02-01,2.0,0.0,0.0
2020-02-02,2.0,0.0,0.0
2020-02-03,8.0,0.0,6.0
2020-02-04,8.0,0.0,0.0
2020-02-05,9.0,0.0,1.0
2020-02-06,9.0,0.0,0.0
2020-02-07,9.0,0.0,0.0
2020-02-08,13.0,0.0,4.0
2020-02-09,14.0,0.0,1.0
2020-02-10,14.0,0.0,0.0
2020-02-11,15.0,0.0,1.0
2020-02-12,16.0,0.0,1.0
2020-02-13,17.0,0.0,1.0
2020-02-14,18.0,0.0,1.0
2020-02-15,18.0,0.0,0.0
2020-02-16,18.0,0.0,0.0
2020-02-17,19.0,0.0,1.0
2020-02-18,19.0,0.0,0.0
2020-02-19,20.0,0.0,1.0
2020-02-20,22.0,0.0,2.0
2020-02-21,23.0,0.0,1.0
2020-02-22,23.0,0.0,0.0
2020-02-23,28.0,0.0,5.0
2020-02-24,30.0,0.0,2.0
2020-02-25,34.0,0.0,4.0
2020-02-26,37.0,0.0,3.0
2020-02-27,44.0,0.0,7.0
2020-02-28,56.0,0.0,12.0
2020-02-29,61.0,0.0,5.0
2020-03-01,94.0,0.0,33.0
2020-03-02,134.0,0.0,40.0
2020-03-03,189.0,0.0,55.0
2020-03-04,245.0,0.0,56.0
2020-03-05,294.0,0.0,49.0
2020-03-06,373.0,1.0,79.0
